id,name,country
211,Kiefer - Bos - Sotin Racing,?
212,Red Bull KTM 250,?
213,Blusens Aprilia Germany,?
214,Bancaja Aspar,?
215,Valsir Seedorf Derbi,?
216,Skilled Racing Team,?
217,Red Bull KTM 125,?
218,Belson Campetella Aprilia,?
219,Repsol Honda 125cc,?
220,FFM Honda GP 125,?
221,Polaris World,?
222,Humangest Racing Team 125cc,?
223,WTR Team,?
224,Scot Racing Team,?
225,Andalucia - GFC - MAS,?
226,Team Extremadura,?
227,FMCV - Team Machado,?
228,De Graaf Grand Prix,?
229,Matteoni Racing - TMM,?
230,Master - Mapfre Aspar,?
231,ADAC Nordbayern E.V.,?
232,Superbike Guorsasagi M.S.E.,?
233,Kopron Team Scot,?
234,Yes! Yamaha Tianjian,?
235,TVX Racing - TJP,?
236,History Racing - TZ Club Italia,?
237,VET Racing,?
238,WTR No Alcol Team,?
239,M.C. Terzo Bandini,?
240,Adac Nordbayern E.V.,?
241,AV - Matteoni Racing,?
242,Wintex Racing Austria,?
243,SP125/KGD Racing,?
244,KRP,?
245,UKI Racing,?
246,Maro Racing,?
247,De Arend Racing,?
248,Jaap Kingma,?
249,Cool Rental Racing TH,?
250,Motorsportklazienaveen,?
251,AMC Schleizer Dreieck ADAC,?
252,Andalucia - GFC - Mas,?
253,Motorcyle Comp. Service,?
254,Sachsenring Motorrad Unger,?
255,Adac Sachsen Junior Team,?
256,Racc Aprilia,?
257,Intermoto Czech,?
258,Rohac & Fetja,?
259,FGR 07 TEAM,?
260,Junior GP Racing Team,?
261,Ellegi Racing,?
262,Friba,?
263,Malossi & Spruce & Pro-Tec,?
264,TEC-2 & Kyushukyoritsu Univ.,?
265,Burning Blood Racing,?
266,Dydo Miu Racing,?
267,TEC-2 & Ogiya,?
268,Project Muy FRS,?
269,Metallico 18 Garage,?
270,Zonsgshen Team Of China,?
271,Yamaha Indonesia Pertamina RT,?
272,Motorcycle Competition Service,?
273,SuperBike Gyorsasagi M.S.E.,?
274,Red Bull MotoGP Academy,?
275,Ascat. Madrid Team,?
276,JiR Team Scot MotoGP,?
277,LCR Honda MotoGP,?
278,San Carlo Honda Gresini,?
279,Alice Team,?
280,Lotus Aprilia,?
281,JiR Team Scot 250,?
282,Mapfre Aspar Team,?
283,Repsol KTM 250cc,?
284,Thai Honda PTT SAG,?
285,Emmi - Caffe Latte,?
286,Yamaha Pertamina Indonesia,?
287,Auto Kelly - CP,?
288,Bancaja Aspar Team,?
289,Belson Derbi,?
290,Grizzly Gas Kiefer Racing,?
291,Blusens Aprilia Junior,?
292,Degraaf Grand Prix,?
293,Jack & Jones WRB,?
294,S3+ WTR San Marino Team,?
295,I.C. Team,?
296,Onde 2000 KTM,?
297,ISPA KTM Aran,?
298,Repsol KTM 125cc,?
299,BQR Blusens,?
300,Loncin Racing,?
301,Alpo Atletico de Madrid,?
